"id","exclude","label"
"54d2c4e2fdf99b2c319a8cf6",1,"same response"
"59d8ae913e5ea00001e1d05f",1,"same response"
"59e7d3f97f3d71000171def0",1,"same response"
"5a02083e087f2e0001eadbdb",1,"same response"
"5ab56fdff69e940001d8da97",1,"same response"
"5ac4c721e1099600016a823b",1,"same response"
"5b0319e68d753d0001cc75c7",1,"same response"
"5b0c65c11e55760001b96e90",1,"same response"
"5b33a01fa8327d0001003821",1,"same response"
"5b9ec956c8a17f000171f7ad",1,"same response"
"5bb7af73dd840f0001d85935",1,"same response"
"5bcbd66377740000016a64b0",1,"same response"
"5c10724111fe9a00013cd815",1,"same response"
"5cdf2adac194e800187ad97a",1,"same response"
"5d88f010859c9e0001810e88",1,"same response"
"5dc9f3a0e2633171257d503e",1,"same response"
"5dcea7314d51e4107516c80d",1,"same response"
"5dced33fc944d1018c53c520",1,"same response"
"5dcf6d762e4a050ac2cba07d",1,"same response"
"5ddcd77f23f9f1c2c45d6c18",1,"same response"
"5de90f54a48441037ac21f43",1,"same response"
"5dfbc3a1946e978e69d8e586",1,"same response"
"5e2b74daae56b71b9d24d89b",1,"same response"
"5e64a02eb7d70b20f250b129",1,"same response"
"5e9c8deb90dd470441c7f98e",1,"same response"
"5e9f3f09ccc75a0c345e4845",1,"same response"
"5ed559e5afbd830e2117ed55",1,"same response"
"5ef319f3058d7f0178266918",1,"same response"
"5f0a7dec44c42c19a6c9f6d9",1,"same response"
"5f17553ce0feb10c3dd2b16a",1,"same response"
"5f4f9bc1f7598f06b2dc816f",1,"same response"
"5fb9b9c1c62f408e51e09e32",1,"same response"
"5fbb062e91513797e214827d",1,"same response"
"5ff07b5ee7a1d23e719e421e",1,"same response"
"6007a7996fbeef04ce080f90",1,"same response"
"607ba9f40639e8a2c931d622",1,"same response"
"609f528fba531c5195b6cd4e",1,"same response"
"60a6a11c62b01a1af9610303",1,"same response"
"60aeb0d07f3a7882a3abbdf6",1,"same response"
"60c18d0606115c8eecb6091b",1,"same response"
"60fd6618f9a377f54dcdf318",1,"same response"
"6112cc420c68ea993ade2533",1,"same response"
"611b09935cd6e67f2b5e9ea2",1,"same response"
"61549a2caa92d84f392000e9",1,"same response"
"6159fe7811a7e1b94401c33f",1,"same response"
"6168650925d6f445883ccdd6",1,"same response"
"61719bfec06e3136189edb55",1,"same response"
"62897d2024f826ea90b7efa1",1,"same response"
"628feaaa86e683cdbebf98a0",1,"same response"
"6292289391b6a2c1033653c8",1,"same response"
"6295270587394aac7ce600db",1,"same response"
"6317ff092d6b47344b7d1ec5",1,"same response"
"631b66847990076d05887914",1,"same response"
"631cfe68ec3769b3711bd80d",1,"same response"
"63251e479509813fab713ad2",1,"same response"
"637b04a69794763b20491590",1,"same response"
"638f8a0121203e0ddbf80e02",1,"same response"
"638fdf87700dd1228bade2e1",1,"same response"
"6394e32126ebbdc7b10c6748",1,"same response"
"63a0f27fca07899904e593f1",1,"same response"
"63a49d5bb18f18863fe82dae",1,"same response"
"63a9a8f2f098b7e45bd03721",1,"same response"
"63bcbf7e0ac7e876387ef720",1,"same response"
"63bf745cc01669a110ec48ba",1,"same response"
"63d2f3294efc674f84b302d2",1,"same response"
"63d41123bd9ac5e95fc74616",1,"same response"
"63d4a887e1ab7f8c5a4cc336",1,"same response"
"63d80a392c05f6a765d9e63a",1,"same response"
"63d83e6e48dd3f8da9458dd3",1,"same response"
"63ea751b7686e752f5ef78b2",1,"same response"
"63ebd1cd6715f8cbe3405c82",1,"same response"
"63fcde3494055a563c72cb12",1,"same response"
"6400dcf7361c4d3315b027b4",1,"same response"
"64018f58d236aad3893f34b6",1,"same response"
"640feb5e49b723bcfaad6437",1,"same response"
"64135e3d9cd5e3f16290d29c",1,"same response"
"6431b44f10493845f0904891",1,"same response"
"6441557474b4acdbbcc9e4eb",1,"same response"
"6441a242a7d85d5c3e49a173",1,"same response"
"6455616c0fe23ecca70ce1b9",1,"same response"
"6466c5d29fcee46200c0137b",1,"same response"
"64812265e9739eed0d51977f",1,"same response"
"6488eb2841a2c8ae8a7776ab",1,"same response"
"64bbf16db125b5d6a2f3a911",1,"same response"
"64d3f74db38d2256c4ff650b",1,"same response"
"64d55b4562a7a1e44d7df618",1,"same response"
"6518a78ee94831275dd1c0e1",1,"same response"
"651ebcca48c60acc82f1f2bd",1,"same response"
"651f8f555a5fde411587c859",1,"same response"
"65240d2fa731788bf890470d",1,"same response"
"652423321917b76cf71dfbbd",1,"same response"
"6529803fa8425da3fdfe0ff8",1,"same response"
"654287b7f8958a83a5c611fd",1,"same response"
"65429041aa9bde9216c53dc2",1,"same response"
"6552428b01eebb19576c567d",1,"same response"
"655727ebfca43fc335260382",1,"same response"
"655a2d30bcd51e704720645a",1,"same response"
"657a6ecc62c29be44b207d5d",1,"same response"
"6581d59fc1a74c526abf0de5",1,"same response"
"65847ecf0896ca006d2c00b7",1,"same response"
"65957f9a085d53d06174a2f9",1,"same response"
"659d70ce94cf999e4d7b189a",1,"same response"
"65a1aed8e2b9a23db7765b0b",1,"same response"
"65b3dc2f924ee9deee8b40b9",1,"same response"
"65b40fa5fc13e92b9c793475",1,"same response"
"65c017a404cde4687fdad22e",1,"same response"
"65c266bb091c0f2811ab8d80",1,"same response"
"65c2ae585665fc4b8b3eae80",1,"same response"
"5c3d07a85a994b0001c10bb2",1,"said dont use data"
"65da873891cb7174c9544968",1,"said dont use data"
"55a28851fdf99b602e6b05dd",1,"did not place neutral correctly"
"5977466b68264c0001c49088",1,"did not place neutral correctly"
"5cdf2adac194e800187ad97a",1,"did not place neutral correctly"
"5ef319f3058d7f0178266918",1,"did not place neutral correctly"
"5effc7a64495250cbb0d8de8",1,"did not place neutral correctly"
"5f46cd85e858dd0a24269315",1,"did not place neutral correctly"
"5fbb062e91513797e214827d",1,"did not place neutral correctly"
"60a6a11c62b01a1af9610303",1,"did not place neutral correctly"
"60c18d0606115c8eecb6091b",1,"did not place neutral correctly"
"61549a2caa92d84f392000e9",1,"did not place neutral correctly"
"63251e479509813fab713ad2",1,"did not place neutral correctly"
"638d3556e70c7bf15705e35b",1,"did not place neutral correctly"
"63971ce5ac05acbcf187d303",1,"did not place neutral correctly"
"63d2f3294efc674f84b302d2",1,"did not place neutral correctly"
"63d570d979c31656fece7c7d",1,"did not place neutral correctly"
"63d8352e4565d58f6e88cf09",1,"did not place neutral correctly"
"640152774945eb00209175b4",1,"did not place neutral correctly"
"640feb5e49b723bcfaad6437",1,"did not place neutral correctly"
"6434ca569e4ece2d6062bd6b",1,"did not place neutral correctly"
"646fea6f93d07b0354140441",1,"did not place neutral correctly"
"6479ef255eeda61e229715e4",1,"did not place neutral correctly"
"64da2accd7f18b0adeede7ba",1,"did not place neutral correctly"
"65085fb91a4cb8bd22420fef",1,"did not place neutral correctly"
"653f02673c461bbfd79d8789",1,"did not place neutral correctly"
"65465b95f53f11ae40ae0a6a",1,"did not place neutral correctly"
"6552428b01eebb19576c567d",1,"did not place neutral correctly"
"65675f2ae0bb2e4ecb9c539d",1,"did not place neutral correctly"
"65b3dc2f924ee9deee8b40b9",1,"did not place neutral correctly"
"65bdf6e949b019b9990342cd",1,"did not place neutral correctly"
"65be31d46246dae8fb283372",1,"did not place neutral correctly"
"65be3f5cbc9c811b418ff7cc",1,"did not place neutral correctly"
"65c1499964a50727ccd1b540",1,"did not place neutral correctly"
"65e2240ceb2b1fd974ef01b3",1,"did not place neutral correctly"
